"spell","level","school","classes","cast_time","duration","range_area","attack_save","damage_effect","description","source_url"
"Harm","6","Necromancy","Cleric","Action","Duration Long Rest","Range 18 m / 60 ft","CON Save","14d6 Necrotic","Reduce a target's maximum Hit Points, but never below 1.","https://bg3.wiki/wiki/Harm"
"Heal","6","Evocation","Cleric; Druid","Action","-","Range 18 m / 60 ft","-","70 Healing","Heals a target's wounds and remove Blindness and any diseases. Prerequisite No effect on undead and constructs.","https://bg3.wiki/wiki/Heal"
"Heroes' Feast","6","Conjuration","Cleric; Druid","Action","Duration Long Rest","Range Self Aoe 18m / 60ft (Radius)","-","-","You and everyone around can't be Poisoned, Diseased, or Frightened (status group). Everyone's maximum Hit Points increases by 12, and they make Wisdom Saving Throw Saving Throws with Advantage.","https://bg3.wiki/wiki/Heroes%27_Feast"
"Otiluke's Freezing Sphere","6","Evocation","Wizard","Action","-","Range 1.5 m / 5 ft","CON Save","10d6 Cold","Create a ball of churning ice that can be launched instantly to generate a frosty explosion or stored for later use.","https://bg3.wiki/wiki/Otiluke%27s_Freezing_Sphere"
"Otto's Irresistible Dance","6","Enchantment","Bard; Wizard","Action","Duration 10 turns","Range 9 m / 30ft","WIS Save","-","Cause a creature to start dancing, making it unable to take Actions or Move. Its attackers have Advantage on Attack Roll Attack Rolls. The dancer has Disadvantage on Attack Rolls and Dexterity Saving Throw Saving Throws.","https://bg3.wiki/wiki/Otto%27s_Irresistible_Dance"
"Planar Ally","6","Conjuration","Cleric","Action","-","Range 18 m / 60 ft","-","-","Beseech one of these otherworldly entities for aid. Summon either an Elemental, Celestial, or Fiend to fight for you.","https://bg3.wiki/wiki/Planar_Ally"
"Sunbeam","6","Evocation","Druid; Sorcerer; Wizard","Action","Duration 10 turns","Aoe 18m / 60ft","CON Save","6d8 Radiant","A beam of brilliant light sears and Blinds all creatures in its path. Until the spell ends, you can recast Sunbeam without expending a spell slot.","https://bg3.wiki/wiki/Sunbeam"
"Wall of Ice","6","Evocation","Wizard","Action","Duration 10 turns","Range 18 m / 60ft","DEX Save","10d6 Cold","Raise a wall of solid ice that deals 10d6 Cold damage to anyone standing in its way. When the ice is broken, it leaves behind a cloud of frigid air that deals 10d6 Cold per turn to creatures within.","https://bg3.wiki/wiki/Wall_of_Ice"
"Wall of Thorns","6","Conjuration","Druid","Action","-","Range 18 m / 60 ft","DEX Save","7d8 Piercing","Create a wall of pliable, twisting thorns surrounded by Entangling vines. Creatures can move through the wall, but take 7d8 Piercing damage per turn, their Movement Speed is quartered.","https://bg3.wiki/wiki/Wall_of_Thorns"
"Wind Walk","6","Transmutation","Druid","Action","Duration Long Rest","Range 9 m / 30ft","-","-","Transform yourself and all nearby party members into tiny clouds of mist to avoid attacks. You become Resistant to non-magical damage, gain Advantage on Constitution, Dexterity, and Strength Saving Throw Saving Throws, and become Tiny in size. Prerequisite While transformed, you won't be able to attack, cast spells, or talk.","https://bg3.wiki/wiki/Wind_Walk"
