"feature","description","source_url"
"Rakish Sneak Attack (Ranged)","Rakish Sneak Attack (Ranged) is a Swashbuckler rogue weapon action. This ability allows the rogue to exploit an enemy's distraction and deal extra damage to their vulnerable spots with ranged weapons.","https://bg3.wiki/wiki/Rakish_Sneak_Attack_(Ranged)"
"Ranger's Companion","Ranger's Companion is a Beast Master Ranger class action. This ability allows the Beast Master to call upon their animal companion to fight and aid them in combat.","https://bg3.wiki/wiki/Ranger's_Companion"
"Ray of Enfeeblement","Ray of Enfeeblement is a level 2 necromancy spell. It allows spellcasters to make a ranged spell attack against a creature and sap their Strength. A weakened creature deals half damage with weapon attacks that use Strength.","https://bg3.wiki/wiki/Ray_of_Enfeeblement"
"Reckless Attack","Reckless Attack is a Barbarian weapon action that grants advantage on all attacks for 1 round, but makes all incoming attacks targetting the barbarian also have advantage for the same duration. It can alternatively be triggered as a free post-strike reaction on a miss (provided the attack was not already benefiting from advantage).","https://bg3.wiki/wiki/Reckless_Attack"
"Redirect Attack","Redirect Attack is a Way of the Drunken Master monk reaction/passive feature that allows the monk to make an unarmed attack against the attacker.","https://bg3.wiki/wiki/Redirect_Attack"
"Relentless Avenger","Relentless Avenger is an Oath of Vengeance Paladin passive feature. This ability allows a Paladin to pursue fleeing enemies.","https://bg3.wiki/wiki/Relentless_Avenger"
"Relentless Rage","Relentless Rage is a Barbarian passive feature. While raging, the barbarian is harder to defeat.","https://bg3.wiki/wiki/Relentless_Rage"
"Reliable Talent","Reliable Talent is a passive feature gained by rogues at level 11. It treats any roll under 10 as a 10.","https://bg3.wiki/wiki/Reliable_Talent"
"Remarkable Athlete: Jump","Remarkable Athlete: Jump is a Champion Fighter passive feature that increases their jump distance by 3 m (10 ft).","https://bg3.wiki/wiki/Remarkable_Athlete%3A_Jump"
"Remarkable Athlete: Proficiency","Remarkable Athlete: Proficiency is a Champion Fighter passive feature that adds half of their Proficiency Bonus to any Strength, Dexterity, and Constitution Checks they are not Proficient in.","https://bg3.wiki/wiki/Remarkable_Athlete%3A_Proficiency"
"Remove Curse","Remove Curse is a level 3 abjuration spell. It allows spellcasters to remove all curses afflicting a target by touch.","https://bg3.wiki/wiki/Remove_Curse"
"Revivify","Revivify is a level 3 necromancy spell. It allows the spellcaster to bring a Companion with 0 hit points back to life.","https://bg3.wiki/wiki/Revivify"
"Ride the Wind","Ride the Wind is a class action that allows a monk following the Way of the Four Elements to fly.","https://bg3.wiki/wiki/Ride_the_Wind"
"Righteous Clarity","Righteous Clarity is a Channel Oath action available to Oath of the Crown paladins which grants the paladin or an ally a bonus to attack rolls equal to their proficiency bonus.","https://bg3.wiki/wiki/Righteous_Clarity"
"Rush of the Gale Spirits","Rush of the Gale Spirits is an action that allows a Way of the Four Elements monk to conjure a squall to clear dangerous gasses or throw creatures back, potentially causing a dangerous fall. This action is the monk's equivalent of Gust of Wind","https://bg3.wiki/wiki/Rush_of_the_Gale_Spirits"
"Sacred Weapon","Sacred Weapon is a Channel Oath action available to Oath of Devotion paladins. This ability allows them to channel positive energy into their weapons, adding their Charisma Modifier to their attack rolls.","https://bg3.wiki/wiki/Sacred_Weapon"
"Sanctuary","Sanctuary is a level 1 abjuration spell. It allows spellcasters to ward themselves or an ally against enemy attacks.","https://bg3.wiki/wiki/Sanctuary"
"Scimitars","Scimitars are a type of one-handed martial melee weapon. The following are some base attributes common to most scimitars, although special or magical variants may be significantly different. For the most common, nonmagical type of this weapon, see Scimitar. Further down below, you can find a list of all scimitars in the game.","https://bg3.wiki/wiki/Scimitars"
"Scorching Ray","Scorching Ray is a level 2 evocation spell. It allows spellcasters to hurl 3 rays of fire at one or more targets within range. Each ray has a separate Attack Roll and deals Fire damage.","https://bg3.wiki/wiki/Scorching_Ray"
"Sculpt Spells","Sculpt Spells is an Evocation School passive feature prevents your allies from taking damage from some of your spells.","https://bg3.wiki/wiki/Sculpt_Spells"
"Second-Story Work","Second-Story Work: Falling is a Thief Rogue passive feature that grants Resistance against falling damage.","https://bg3.wiki/wiki/Second-Story_Work"
"See Invisibility","See Invisibility might refer to: See Invisibility (class action), the level 6 Illusion School Wizard class action Third Eye: See Invisibility, the level 10 Divination School Wizard class action See Invisibility (Condition), the condition See Invisibility (spell), the level 2 divination spell See also: Revealed, the condition applied to creatures that are revealed by See Invisibility actions Seeker Matrix, an action equivalent to See Invisibility used by Steel Watchers","https://bg3.wiki/wiki/See_Invisibility"
"Seeming","Seeming is a level 5 illusion spell. It allows spellcasters to disguise their allies.","https://bg3.wiki/wiki/Seeming"
"Shadow Arts: Darkness","Shadow Arts: Darkness is a Way of Shadow monk class action. This ability allows these monks to conjure a cloud of darkness in an area within range that obscures and blinds those within it.","https://bg3.wiki/wiki/Shadow_Arts%3A_Darkness"
"Shadow Arts: Darkvision","Shadow Arts: Darkvision is a Way of Shadow monk class action. It allows a monk to alter a creature's sight, granting them the ability to see in the dark.","https://bg3.wiki/wiki/Shadow_Arts%3A_Darkvision"
"Shadow Arts: Hide","Shadow Arts: Hide is a Way of Shadow Monk class action. It allows a monk to Hide from view using a Bonus Action.","https://bg3.wiki/wiki/Shadow_Arts%3A_Hide"
"Shadow Arts: Pass Without Trace","Shadow Arts: Pass Without Trace is a Way of Shadow monk class action that grants a stealth bonus to the caster and nearby allies.","https://bg3.wiki/wiki/Shadow_Arts%3A_Pass_Without_Trace"
"Shadow Arts: Silence","Shadow Arts: Silence is a Way of Shadow monk class action. It allows a monk to summon a sphere of absolute quietness in an area within range. Creatures within this sphere are immune to ⁠Thunder damage and cannot cast verbal spells.","https://bg3.wiki/wiki/Shadow_Arts%3A_Silence"
"Shadow Step","Shadow Step is a Way of Shadow monk class action. It allows a monk to enter the shadows and reappear at a distant, obscure location, gaining Advantage on their next melee attack.","https://bg3.wiki/wiki/Shadow_Step"
"Shadow Strike","Shadow Strike is a Way of Shadow monk weapon action. It lets a monk strike from the shadows with their weapon dealing bonus ⁠Psychic damage.","https://bg3.wiki/wiki/Shadow_Strike"
"Shadow Strike: Unarmed","Shadow Strike: Unarmed is a Way of Shadow monk class action. It lets a monk strike from the shadows with their fists dealing bonus ⁠Psychic damage.","https://bg3.wiki/wiki/Shadow_Strike%3A_Unarmed"
"Shadow Walk","Shadow Walk is a Shadow Magic sorcerer class action granted at level 11. It allows a sorcerer to teleport into shadow and cast a spell at a distance without using sorcery points.","https://bg3.wiki/wiki/Shadow_Walk"
"Shapechanger","Shapechanger is a Transmutation School wizard class action that allows a wizard to transform into a blue jay at will, without expending any spell slots.","https://bg3.wiki/wiki/Shapechanger"
"Shaping of the Ice","Shaping of the Ice is an action that allows a Way of the Four Elements monk to create an ice cube that can be climbed.","https://bg3.wiki/wiki/Shaping_of_the_Ice"
"Shatter","Shatter is a level 2 evocation spell. It allows the spellcaster to generate a deafening noise explosion that can damage multiple creatures and objects. This spell is especially potent against inorganic targets, which must make their Saving Throw at Disadvantage.","https://bg3.wiki/wiki/Shatter"
"Shield","Shield may refer to: Shield (condition) Shield (item) Shield (spell) Shields (equipment)","https://bg3.wiki/wiki/Shield"
"Shillelagh","Shillelagh is a cantrip (Transmutation). It imbues the caster's weapon with nature power.","https://bg3.wiki/wiki/Shillelagh"
"Silence","Silence is a level 2 illusion spell. It allows spellcasters to summon a sphere of absolute quiet in an area within range. Creatures within this sphere are immune to ⁠Thunder damage and cannot cast verbal spells.","https://bg3.wiki/wiki/Silence"
"Slashing Flourish (Melee)","Slashing Flourish (Melee) is a College of Swords bard weapon action. It allows the bard to use a Bardic Inspiration to make a sweeping melee weapon attack which deals extra damage and can hit up to two enemies.","https://bg3.wiki/wiki/Slashing_Flourish_(Melee)"
"Slashing Flourish (Ranged)","Slashing Flourish (Ranged) is a College of Swords bard weapon action. This flourish manoeuvre allows the bard to use a Bardic Inspiration to make a ranged weapon attack that fires two separate projectiles and deals bonus damage. The two projectiles may be directed at two separate targets or both at a single target.","https://bg3.wiki/wiki/Slashing_Flourish_(Ranged)"
"Sleep","Sleep is a level 1 enchantment spell. It allows the spellcaster to temporarily make conscious creatures fall into a deep slumber.","https://bg3.wiki/wiki/Sleep"
"Sleet Storm","Sleet Storm is a level 3 conjuration spell. It allows spellcasters to call forth a storm that douses fire, creates an icy surface, and disrupts the concentration of spellcasters.","https://bg3.wiki/wiki/Sleet_Storm"
"Slow","Slow is a level 3 transmutation spell. It allows spellcasters to reduce movement speed, Armour Class, and Dexterity Saving Throws, and also limit actions.","https://bg3.wiki/wiki/Slow"
"Sobering Realisation","Sobering Realisation is a Way of the Drunken Master monk class action. It lets a monk sober up an intoxicated target by striking them.","https://bg3.wiki/wiki/Sobering_Realisation"
"Song of Defence","Song of Defence is a passive feature/reaction available to Bladesinging wizards which lets them expend spell slots to reduce incoming damage.","https://bg3.wiki/wiki/Song_of_Defence"
"Speak with Animals","Speak with Animals is a level 1 divination spell. It allows spellcasters to understand and talk to beasts until they long rest.","https://bg3.wiki/wiki/Speak_with_Animals"
"Speak with Dead","Speak with Dead is a level 3 necromancy spell. It allows spellcasters to grant a semblance of life to a corpse, allowing it to answer questions.","https://bg3.wiki/wiki/Speak_with_Dead"
"Sphere of Elemental Balance","Sphere of Elemental Balance is an action; it allows a Way of the Four Elements monk to create a sphere that channels different elements. This action is the monk's equivalent of Chromatic Orb.","https://bg3.wiki/wiki/Sphere_of_Elemental_Balance"
"Spike Growth","Spike Growth is a level 2 transmutation spell. It allows spellcasters to transform an area of land into a hazardous spiky terrain. Creatures walking through the area have their speed halved and take Piercing damage.","https://bg3.wiki/wiki/Spike_Growth"
"Spirit Guardians","Spirit Guardians is a level 3 conjuration spell. It allows spellcasters to call forth spirits to damage nearby targets and slow their Movement.","https://bg3.wiki/wiki/Spirit_Guardians"
"Spiritual Weapon","Spiritual Weapon is a level 2 evocation spell. It summons a floating weapon that can attack enemies. The caster can choose between several different weapons, and each has a different weapon action.","https://bg3.wiki/wiki/Spiritual_Weapon"
"Spiteful Suffering","Spiteful Suffering is a Channel Oath action available to Oathbreaker paladins. This ability allows these paladins to steep their enemies in darkness, causing necrotic damage and leaving them susceptible to attacks.","https://bg3.wiki/wiki/Spiteful_Suffering"
"Split Enchantment","Split Enchantment is an Enchantment School Wizard toggleable passive feature that enables you to target 2 creatures when casting an Enchantment school spell that normally only targets 1.","https://bg3.wiki/wiki/Split_Enchantment"
"Spreading Spores","Spreading Spores is a Circle of the Spores druid class action unlocked at level 10. With Symbiotic Entity active, these druids can create lingering clouds of spores that deal necrotic damage to any creatures within.","https://bg3.wiki/wiki/Spreading_Spores"
"Staggering Smite","Staggering Smite is a level 4 evocation spell. It adds ⁠Psychic damage to the spellcaster's weapon as they strike, possibly staggering the target when hit.","https://bg3.wiki/wiki/Staggering_Smite"
"Stalker's Flurry","Stalker's Flurry is a Gloom Stalker Ranger passive feature that lets you continue attacking when you miss.","https://bg3.wiki/wiki/Stalker's_Flurry"
"Star Map: Guiding Bolt","Star Map: Guiding Bolt is a level 1 evocation spell. This spell exclusive to the Circle of the Stars druid, allows spellcasters to hit enemies with radiant bolt that deals ⁠Radiant damage and grants advantage to attack rolls made against them.","https://bg3.wiki/wiki/Star_Map%3A_Guiding_Bolt"
"Starry Form","Starry Form is a passive feature that grants starry forms to Circle of the Stars druids.","https://bg3.wiki/wiki/Starry_Form"
"Starry Form: Archer","Starry Form: Archer is a bonus action available to Circle of the Stars druids. It lets them enter a Starry Form where they can shoot arrows made of light.","https://bg3.wiki/wiki/Starry_Form%3A_Archer"
"Starry Form: Chalice","Starry Form: Chalice is a bonus action available to Circle of the Stars druids. It lets them enter a Starry Form where they gain a free healing action that recharges every time they cast a healing spell.","https://bg3.wiki/wiki/Starry_Form%3A_Chalice"
"Starry Form: Dragon","Starry Form: Dragon is a bonus action available to Circle of the Stars druids. It lets them enter a Starry Form where they gain a radiant breath attack and significant bonus to concentration saving throws. At higher levels, druids in this form additionally gain the ability to hover and fly.","https://bg3.wiki/wiki/Starry_Form%3A_Dragon"
"Steel Will","Steel Will is a Hunter Ranger passive feature that strengthens your mind against fear.","https://bg3.wiki/wiki/Steel_Will"
"Stinking Cloud","Stinking Cloud is a level 3 conjuration spell. It allows spellcasters to create a nauseating cloud of gas which can prevent creatures from taking actions. Targets must make Constitution Saving Throws every turn while they are in the area of effect or become Nauseous.","https://bg3.wiki/wiki/Stinking_Cloud"
"Stoneskin","Stoneskin is a level 4 abjuration spell. It allows spellcasters to harden the skin of their ally, granting them Resistance to non-magical physical damage.","https://bg3.wiki/wiki/Stoneskin"
"Storm's Fury","Storm's Fury is a Storm Sorcery sorcerer passive feature and reaction unlocked at level 11. When struck by a melee attacker, the sorcerer can use this reaction push the attacker away with a blast of lightning damage.","https://bg3.wiki/wiki/Storm's_Fury"
"Strength of the Grave","Strength of the Grave is a passive feature that prevents the first death.","https://bg3.wiki/wiki/Strength_of_the_Grave"
"Superior Darkvision","Superior Darkvision is a passive feature that prevents Disadvantage when attacking creatures in the dark within 24 m (80 ft), double the distance of normal Darkvision.","https://bg3.wiki/wiki/Superior_Darkvision"
"Supreme Sneak","Supreme Sneak is a Thief rogue class action. This ability allows the Thieves to become invisible for a limited amount of time.","https://bg3.wiki/wiki/Supreme_Sneak"
"Swamp","Swamp is a passive feature available to Circle of the Land Druids that pick this as their Land. It grants a couple extra spells every two levels","https://bg3.wiki/wiki/Swamp"
"Sweeping Cinder Strike","Sweeping Cinder Strike is an action that allows a Way of the Four Elements monk to shoot a flaming cone from their fingertips and deal ⁠Fire damage to enemies. This is the monk's equivalent of Burning Hands.","https://bg3.wiki/wiki/Sweeping_Cinder_Strike"
"Symbiotic Entity","Symbiotic Entity is a Circle of the Spores druid class action. Instead of transforming into a beast, these druids can spend a Wild Shape Charge to enter Symbiotic Entity form. In this form, they gain temporary hit points and deal additional ⁠Necrotic damage with weapon or unarmed attacks and Halo of Spores. It is lost when the temporary hit points are depleted.","https://bg3.wiki/wiki/Symbiotic_Entity"
"Tasha's Hideous Laughter","Tasha's Hideous Laughter is a level 1 enchantment spell. It allows spellcasters to send a targeted creature into a fit of laughter, falling Prone.","https://bg3.wiki/wiki/Tasha's_Hideous_Laughter"
"Telekinesis","Telekinesis is a level 5 transmutation spell. It allows spellcasters to throw creatures and objects around with only their mind.","https://bg3.wiki/wiki/Telekinesis"
"Tempestuous Magic","Tempestuous Magic is a Storm Sorcery Sorcerer passive feature that enables you to safely disengage from enemies after casting a leveled spell.","https://bg3.wiki/wiki/Tempestuous_Magic"
"Thaumaturgy","Thaumaturgy is a cantrip (Transmutation). It temporarily improves the caster's Intimidation and Performance checks.","https://bg3.wiki/wiki/Thaumaturgy"
"Third Eye: Darkvision","Third Eye: Darkvision is a Divination School wizard class action that gives you the ability to see in the darkness all the way up to 24 m (80 ft) (akin to Superior Darkvision) until the next day.","https://bg3.wiki/wiki/Third_Eye%3A_Darkvision"
"Third Eye: See Invisibility","Third Eye: See Invisibility is a Divination School wizard class action that gives you the ability to see invisible creatures nearby until Long Rest. It is akin to the spell See Invisibility.","https://bg3.wiki/wiki/Third_Eye%3A_See_Invisibility"
"Thorn Whip","Thorn Whip is a cantrip (Transmutation). It deals damage to a target and pulls it closer to the caster.","https://bg3.wiki/wiki/Thorn_Whip"
"Thought Shield: Psychic Reflection","Thought Shield: Psychic Reflection is a passive feature unique to The Great Old One Warlock subclass that damages attackers with the same damage when damaged with Psychic damage.","https://bg3.wiki/wiki/Thought_Shield%3A_Psychic_Reflection"
"Thought Shield: Psychic Resistance","Thought Shield: Psychic Resistance is a passive feature unique to The Great Old One Warlock subclass that grants Resistance to Psychic damage.","https://bg3.wiki/wiki/Thought_Shield%3A_Psychic_Resistance"
"Thunderbolt Strike","Thunderbolt Strike is a Tempest Domain cleric passive feature that pushes Large or smaller creatures 3 m (10 ft) that are dealt ⁠Thunder or ⁠Lightning damage from the cleric.","https://bg3.wiki/wiki/Thunderbolt_Strike"
"Thunderwave","Thunderwave is a level 1 evocation spell. It allows spellcasters to project out a deafening force that can hit multiple creatures and objects. Creatures hit by this force may be pushed away from the spellcaster.","https://bg3.wiki/wiki/Thunderwave"
"Tides of Chaos","Tides of Chaos is a Wild Magic sorcerer toggleable passive feature which grants Advantage on the sorcerer's next ability check. After this feature is triggered, the next spell cast has a greatly increased chance of a creating a Wild Magic surge (50% chance instead of the normal 5%). Alternatively, this feature can be triggered after a roll is failed with the corresponding reaction.","https://bg3.wiki/wiki/Tides_of_Chaos_(passive_feature)"
"Touch of Death","Touch of Death is a Death Domain cleric reaction which allows the cleric to deal extra ⁠Necrotic damage after a melee attack.","https://bg3.wiki/wiki/Touch_of_Death"
"Touch of the Storm","Touch of the Storm is an action that allows the Way of the Four Elements monk to strike nearby enemies with lightning, causing them to be unable to use reactions. This is the monk's equivalent of Shocking Grasp.","https://bg3.wiki/wiki/Touch_of_the_Storm"
"Training in War and Song","Training in War and Song is a passive feature of Bladesinging Wizards which grants them proficiencies in light armour and one-handed blade weapons.","https://bg3.wiki/wiki/Training_in_War_and_Song"
"Tranquillity","Tranquillity is a Way of the Open Hand Monk passive feature that prevents enemies from directly harming the monk until the first time they attack each day (effectively a free use of Sanctuary).","https://bg3.wiki/wiki/Tranquillity"
"Transmuter's Stone","Transmuter's Stone is a Transmutation School Wizard free action that allows you to create Transmuter's Stones which allow you to give a creature various benefits by holding that stone.","https://bg3.wiki/wiki/Transmuter's_Stone"
"True Strike","True Strike is a cantrip (Divination). It gives the caster Advantage on their next Attack Roll against the target.","https://bg3.wiki/wiki/True_Strike"
"Turn the Faithless","Turn the Faithless is a Channel Oath action available to Oath of the Ancients paladins. It allows these paladins to make fey and fiends flee from them.","https://bg3.wiki/wiki/Turn_the_Faithless"
"Turn the Tide","Turn the Tide is a Channel Oath action available to Oath of the Crown paladins which heals all nearby allies and neutral creatures.","https://bg3.wiki/wiki/Turn_the_Tide"
"Turn the Unholy","Turn the Unholy is a Channel Oath action available to Oath of Devotion paladins. This ability allows these paladins to make undead and fiends flee from them.","https://bg3.wiki/wiki/Turn_the_Unholy"
"Turn Undead","Turn Undead is a Channel Divinity action available to clerics of any domain. As an action, they can present their holy symbols and cause undead creatures to flee.","https://bg3.wiki/wiki/Turn_Undead"
"Twinkling Constellations","Twinkling Constellations is a passive feature that improves the starry forms of Circle of the Stars druids.","https://bg3.wiki/wiki/Twinkling_Constellations"
"Two-Weapon Fighting","Two-Weapon Fighting is a Fighting style passive feature. It allows characters to effectively dual-wield two weapons with the Light property, adding damage.","https://bg3.wiki/wiki/Two-Weapon_Fighting"
"Umbral Shroud","Umbral Shroud is a Gloom Stalker Ranger class action that lets you become Invisible so long as you are enshrouded in shadows.","https://bg3.wiki/wiki/Umbral_Shroud"
"Unarmoured Defence","Unarmoured Defence is a class feature for different classes: Unarmoured Defence Unarmoured Defence","https://bg3.wiki/wiki/Unarmoured_Defence"
"Uncanny Dodge","Uncanny Dodge is a togglable passive gained by Rogues at Level 5. Uncanny Dodge allows the Rogue to reduce incoming damage once per round.","https://bg3.wiki/wiki/Uncanny_Dodge"
"Undead Thralls: Additional Undead","Undead Thralls: Additional Undead is a Necromancy School Wizard passive feature that allows you to raise additional undead when you cast the Animate Dead spell.","https://bg3.wiki/wiki/Undead_Thralls%3A_Additional_Undead"
"Undead Thralls: Animate Dead","Undead Thralls: Animate Dead is a Necromancy School Wizard passive feature that grants you the spell Animate Dead.","https://bg3.wiki/wiki/Undead_Thralls%3A_Animate_Dead"
"Undead Thralls: Better Summons","Undead Thralls: Better Summons is a Necromancy School Wizard passive feature that enhances the undead you raise with Animate Dead. They gain additional hit points and extra damage.","https://bg3.wiki/wiki/Undead_Thralls%3A_Better_Summons"
"Underdark","The Underdark is a region in Act One of Baldur's Gate 3. It is a vast series of caverns and tunnels devoid of sunlight but full of dangerous creatures and even more dangerous mushrooms. It also contains a multitude of alchemical ingredients that are hard to find elsewhere. “ Ah, cries for help... I must be home. „ — Player character belonging to an Underdark race, upon hearing Baelen's wails","https://bg3.wiki/wiki/Underdark"
"Unstable Backlash","Unstable Backlash is a Wild Magic Barbarian passive feature/reaction. While raging, receiving damage triggers the effects of Wild Magic.","https://bg3.wiki/wiki/Unstable_Backlash"
"Vampiric Touch","Vampiric Touch is a level 3 necromancy spell. It allows spellcasters at melee range to siphon the life force of their target.","https://bg3.wiki/wiki/Vampiric_Touch"
"Vaprak's Greed","Vaprak's Greed is a Giant barbarian passive feature that increases carry weight.","https://bg3.wiki/wiki/Vaprak's_Greed"
"Volley","Volley is a Hunter ranger weapon action. This ability allows Hunters to attack every enemy in a large area with a ranged weapon rather than a single target.","https://bg3.wiki/wiki/Volley"
"Vow of Enmity","Vow of Enmity is an Oath of Vengeance Paladin class action. It allows them to successfully land their attacks more easily.","https://bg3.wiki/wiki/Vow_of_Enmity"
"Wall of Fire","Wall of Fire is a level 4 evocation spell. It allows spellcasters to create a long, fiery barrier, damaging anything in the area.","https://bg3.wiki/wiki/Wall_of_Fire"
"Wall of Stone","Wall of Stone is a level 5 evocation spell. It allows spellcasters to create a solid stone barrier.","https://bg3.wiki/wiki/Wall_of_Stone"
"War God's Blessing","War God's Blessing is a Reaction available to War Domain clerics. This ability allows these Clerics to grant their ally a +10 to an Attack Roll at the cost of one Channel Divinity Charge. This does not cost a Reaction to use. War Domain Clerics get Guided Strike at an earlier level for themselves; War God's Blessing is a variation of Guided Strike for their allies.","https://bg3.wiki/wiki/War_God's_Blessing"
"War Magic","War Magic is an Eldritch Knight Fighter passive feature. This allows the Fighter to make an attack after using a Cantrip by using a Bonus Action.","https://bg3.wiki/wiki/War_Magic"
"Warding Bond","Warding Bond is a level 2 abjuration spell. It allows spellcasters to bolster an ally's defenses while also sharing any damage they receive.","https://bg3.wiki/wiki/Warding_Bond"
"Water Whip","Water Whip is an action that allows a Way of the Four Elements monk to either knock a target prone, or pull it closer.","https://bg3.wiki/wiki/Water_Whip"
"Weapon Bond","Weapon Bond is an Eldritch Knight class action. This prevents the Fighter's main hand weapon from being disarmed and makes it automatically return to the Fighter when thrown.","https://bg3.wiki/wiki/Weapon_Bond"
"Web","Web is a level 2 conjuration spell. It allows spellcasters to conjure a mass of sticky and flammable web at an area within range. Creatures moving or entering this area have their speed halved and can become caught in the web.","https://bg3.wiki/wiki/Web"
"Whirlwind Attack","Whirlwind Attack is a Hunter ranger class action. This ability allows Hunters to attack every enemy around them with a melee attack rather than a single target.","https://bg3.wiki/wiki/Whirlwind_Attack"
"Wholeness of Body","Wholeness of Body is a class action unique to the Way of the Open Hand Monk that lets the monk heal, regain Ki Points, and have an extra bonus action.","https://bg3.wiki/wiki/Wholeness_of_Body"
"Wild Magic","Wild Magic is one of the subclasses of barbarian. These barbarians manifest otherworldy magic to bolster their martial abilities.","https://bg3.wiki/wiki/Wild_Magic_(barbarian_subclass)"
"Wild Shape: Air Myrmidon","Wild Shape: Air Myrmidon is a Combat Wild Shape form available to Circle of the Moon Druids.","https://bg3.wiki/wiki/Wild_Shape%3A_Air_Myrmidon"
"Wild Shape: Earth Myrmidon","Wild Shape: Earth Myrmidon is a Combat Wild Shape form available to Circle of the Moon Druids.","https://bg3.wiki/wiki/Wild_Shape%3A_Earth_Myrmidon"
"Wild Shape: Fire Myrmidon","Wild Shape: Fire Myrmidon is a Combat Wild Shape form available to Circle of the Moon Druids.","https://bg3.wiki/wiki/Wild_Shape%3A_Fire_Myrmidon"
"Wild Shape: Sabre-Toothed Tiger","Wild Shape: Sabre-Toothed Tiger is a Combat Wild Shape form available to Circle of the Moon Druids.","https://bg3.wiki/wiki/Wild_Shape%3A_Sabre-Toothed_Tiger"
"Wild Shape: Water Myrmidon","Wild Shape: Water Myrmidon is a Combat Wild Shape form available to Circle of the Moon Druids.","https://bg3.wiki/wiki/Wild_Shape%3A_Water_Myrmidon"
"Wild Strike","Wild Strike is a Druid passive feature that lets you make multiple unarmed attacks while Wildshaped.","https://bg3.wiki/wiki/Wild_Strike"
"Wolf Companion","Wolf Companion is a variant of Ranger's Companion which is a Subclass Feature of Rangers learned immediately upon choosing the Beast Master subclass. This ability allows the Beast Master to call upon their animal companion to fight and aid them in combat.","https://bg3.wiki/wiki/Wolf_Companion"
"Wolf Spider Companion","Wolf Spider Companion is a variant of Ranger's Companion which is a Subclass Feature of Rangers learned immediately upon choosing the Beast Master subclass. This ability allows the Beast Master to call upon their animal companion to fight and aid them in combat.","https://bg3.wiki/wiki/Wolf_Spider_Companion"
"Wrathful Smite","Wrathful Smite is a level 1 evocation spell. It allows spellcasters to channel their wrath through their melee weapon, possibly Frightening their target on hit.","https://bg3.wiki/wiki/Wrathful_Smite"
"Writhing Tide","Writhing Tide is a class action available to Swarmkeepers which lets them use their swarm to fly a short distance and hover to avoid ground-based hazards. This state lasts for 10 turns during which the Swarmkeeper can reuse this ability each turn without consuming additional resources.","https://bg3.wiki/wiki/Writhing_Tide"
